case_uid,k1_anotator,k1_chovani_primarni,k1_chovani_vse,k1_reseni_primarni,k1_reseni_vse,k1_dopad4,k1_dopad3,k1_flat,k3_kvalita_A12,k3_dopad_A12,k3_vhodnost_A12,k3_kvalita_A2,k3_dopad_A2,k3_vhodnost_A2,k3_adjudikovano
exp1,A4,Šikana,Šikana,Rozhovor,Rozhovor,Neúspěch,Neúspěch,deep,Plná,Neúspěch,1.0,,,,0
exp10,A2,Emoční výbuchy,Emoční výbuchy;Fyzická agrese,Rozhovor,Rozhovor;Důsledky,Krátkodobý úspěch,Krátkodobý úspěch,deep,Plochá,,,,,,0
exp100,A3,Lhaní a podvody,Lhaní a podvody,Rozhovor,Rozhovor;Podpora,Dlouhodobý úspěch,Dlouhodobý úspěch,deep,Plná,Krátkodobý úspěch,4.0,,,,0
exp1002,A1,Šikana,Šikana;Porušování třídních/školních pravidel,Rozhovor,Rozhovor;Nerespektující komunikace;Dohoda;Důsledky;Práce s kolektivem,Dlouhodobý úspěch,Dlouhodobý úspěch,deep,Plná,Dlouhodobý úspěch,4.0,,,,0
exp1004,A2,Verbální narušování výuky,Verbální narušování výuky,(Kázeňské) Tresty,(Kázeňské) Tresty,Neúspěch,Neúspěch,deep,Plná,Neúspěch,2.0,,,,0
exp1005,A2,Neplnění školních povinností/nepřipravenost na výuku,Neplnění školních povinností/nepřipravenost na výuku,Podpora,Podpora;Práce s kolektivem,Neúspěch,Neúspěch,deep,Plná,Krátkodobý úspěch,3.0,,,,0
exp1006,A3,Verbální agrese,Verbální agrese;Verbální narušování výuky,Práce s kolektivem,Práce s kolektivem;Upozornění,Dlouhodobý úspěch,Dlouhodobý úspěch,deep,Plná,Dlouhodobý úspěch,4.0,,,,0
exp1009,A7,Fyzická agrese,Fyzická agrese;Verbální agrese,Práce s kolektivem,Práce s kolektivem;Spolupráce s odborníky,Dlouhodobý úspěch,Dlouhodobý úspěch,deep,Plná,Dlouhodobý úspěch,4.0,,,,0
exp101,A7,Neverbální narušování výuky,Neverbální narušování výuky;Verbální narušování výuky;Emoční výbuchy,Spolupráce s odborníky,Spolupráce s odborníky,Dlouhodobý úspěch,Dlouhodobý úspěch,deep,Plná,Dlouhodobý úspěch,4.0,,,,0
exp1012,A2,Verbální agrese,Verbální agrese,Rozhovor,Rozhovor,Částečný úspěch,Krátkodobý úspěch,deep,Plná,Krátkodobý úspěch,3.0,,,,0
