case_uid,mat_id,problems_annotated,solutions_annotated,implications_annotated,ma_diagnozu
exp562,579,"Fyzická agrese, Verbální agrese, Porušování třídních/školních pravidel","Rozhovor, Důsledky",Částěčný úspěch,0
exp1145,1147,"Nevěnování se výuce/Nepozornost při výuce, Neplnění školních povinností/nepřipravenost na výuku ","Upozornění, Důsledky, Podpora",Neúspěch,0
exp390,383,"Verbální narušování výuky, Neverbální narušování výuky",Podpora,Dlouhodobý úspěch,1
exp584,584,Porušování třídních/školních pravidel,"Rozhovor, Důsledky",Dlouhodobý úspěch,0
mat1174,1174,Fyzická agrese,"Rozhovor, Přemístění žáka ",Částěčný úspěch,0
mat176,176,Diagnóza, ,,1
mat1085,1085,Šikana,Rozhovor,Částěčný úspěch,0
exp700,706,Porušování třídních/školních pravidel,Přemístění žáka ,Dlouhodobý úspěch,0
mat1103,1103,"Sebedestruktivní chování, Neplnění školních povinností/nepřipravenost na výuku ","Rozhovor, Spolupráce s odborníky, Podpora",Dlouhodobý úspěch,0
mat1437,1437,Verbální agrese,"Rozhovor, Podpora",Neúspěch,1
exp1237,1240,Verbální agrese,Rozhovor,Dlouhodobý úspěch,1
exp312,310,"Neverbální narušování výuky, Porušování třídních/školních pravidel","Rozhovor, Důsledky",Neúspěch,1
exp863,869,"Nevěnování se výuce/Nepozornost při výuce, Neverbální narušování výuky, Verbální agrese","Rozhovor, Dohoda",Neúspěch,0
exp785,781,"Šikana, Porušování třídních/školních pravidel","Práce s kolektivem, Důsledky, Podpora",Neúspěch,0
mat1332,1332,Fyzická agrese,Dohoda,Neúspěch,0
mat922,922,"Fyzická agrese, Verbální agrese","Rozhovor, Důsledky",Neúspěch,0
exp469,472,"Verbální narušování výuky, Problémy s docházkou, Neplnění školních povinností/nepřipravenost na výuku , Emoční výbuchy, Diagnóza","Rozhovor, Spolupráce s odborníky, Podpora, Nerespektující komunikace",Neúspěch,1
mat985,985,"Nevěnování se výuce/Nepozornost při výuce, Neplnění školních povinností/nepřipravenost na výuku , Verbální narušování výuky, Neverbální narušování výuky","Upozornění, Rozhovor, Spolupráce s odborníky, Podpora",Částěčný úspěch,1
mat498,498,"Verbální agrese, Verbální narušování výuky","Nerespektující komunikace, Podpora",Dlouhodobý úspěch,0
exp670,661,"Verbální agrese, Fyzická agrese","Rozhovor, Spolupráce s odborníky",Neúspěch,0
exp321,323,"Emoční výbuchy, Nevěnování se výuce/Nepozornost při výuce, Nezvládání výuky","Rozhovor, Podpora",Dlouhodobý úspěch,1
exp426,426,"Neverbální narušování výuky, Verbální narušování výuky, Nevěnování se výuce/Nepozornost při výuce, Fyzická agrese, Verbální agrese","Rozhovor, Důsledky, Spolupráce s odborníky",Neúspěch,1
mat1226,1226,"Verbální narušování výuky, Diagnóza","Rozhovor, Dohoda",,1
exp941,939,"Emoční výbuchy, Fyzická agrese","Rozhovor, Podpora",Dlouhodobý úspěch,0
exp1498,1506,"Fyzická agrese, Verbální agrese, Porušování třídních/školních pravidel, Emoční výbuchy, Lhaní a podvody","Rozhovor, Spolupráce s odborníky, Práce s kolektivem",Částěčný úspěch,0
exp1480,1478,"Verbální agrese, Nevěnování se výuce/Nepozornost při výuce, Verbální narušování výuky, Neverbální narušování výuky, Diagnóza","Rozhovor, Podpora",Dlouhodobý úspěch,1
mat901,901,"Neplnění školních povinností/nepřipravenost na výuku , Verbální agrese","Rozhovor, Podpora, Spolupráce s odborníky",Dlouhodobý úspěch,0
mat1410,1410,"Šikana, Problémy s docházkou","Práce s kolektivem, Rozhovor",Neúspěch,0
exp1230,1223,Verbální narušování výuky,"Upozornění, Přemístění žáka ",Dlouhodobý úspěch,0
exp146,142,"Neverbální narušování výuky, Verbální narušování výuky, Neplnění školních povinností/nepřipravenost na výuku , Verbální agrese, Nevěnování se výuce/Nepozornost při výuce, Porušování třídních/školních pravidel","Přemístění žáka , Důsledky, Nerespektující komunikace",Neúspěch,0
mat372,372,"Emoční výbuchy, Nevěnování se výuce/Nepozornost při výuce, Neplnění školních povinností/nepřipravenost na výuku ","Rozhovor, Podpora",Částěčný úspěch,0
exp457,463,Nezvládání výuky,"Rozhovor, Podpora, Přemístění žáka ","Krátkodobý úspěch, Částěčný úspěch",0
exp316,311,"Sebedestruktivní chování, Emoční výbuchy","Rozhovor, Spolupráce s odborníky",Dlouhodobý úspěch,1
