case_uid,model,varianta,mnozina,predikce,otisk_nasazeni,dopad_A12,dopad_A2,datum
exp2685,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp1852,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp1910,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp1936,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp2076,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,DU,,2026-09-08
exp2114,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp2222,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,KU,,2026-09-08
exp2274,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp1433,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp1318,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp1280,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp1269,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp1250,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,DU,,2026-09-08
exp1225,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,DU,,2026-09-08
exp1200,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp1215,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp1062,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp1031,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp1007,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,NEU,,2026-09-08
exp993,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp966,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp928,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp901,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,DU,,2026-09-08
exp804,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp754,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp760,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp710,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,DU,,2026-09-08
exp715,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp671,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp653,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp638,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp637,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp543,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp527,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,DU,,2026-09-08
exp507,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,NEU,,2026-09-08
exp446,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp407,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,KU,,2026-09-08
exp398,kimi-k3,zero_shot,dev,,f798887e303c18d9,DU,,2026-09-08
exp367,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp353,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp310,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp289,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp295,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,KU,,2026-09-08
exp288,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,KU,,2026-09-08
exp153,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,DU,,2026-09-08
exp83,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp15,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,NEU,,2026-09-08
exp3021,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,NEU,2026-09-08
exp3048,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3058,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3061,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,NEU,2026-09-08
exp3087,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3104,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3112,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3116,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp3176,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp3182,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,NEU,2026-09-08
exp3208,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp3222,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,NEU,2026-09-08
exp3226,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3347,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3382,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3400,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,NEU,2026-09-08
exp3460,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3479,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,KU,2026-09-08
exp3488,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3515,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3526,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp3532,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp3536,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3555,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp3578,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3600,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3614,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp3623,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3659,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp3751,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp3774,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp3783,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,DU,2026-09-08
exp3793,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3799,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3805,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3814,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp3829,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp3842,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3856,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,DU,2026-09-08
exp3862,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp3868,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3875,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,DU,2026-09-08
exp3876,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp3919,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp3974,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp3982,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp4006,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp4011,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp4062,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,KU,2026-09-08
exp4094,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp4240,kimi-k3,zero_shot,dev,DU,f798887e303c18d9,,DU,2026-09-08
exp4262,kimi-k3,zero_shot,dev,KU,f798887e303c18d9,,KU,2026-09-08
exp4320,kimi-k3,zero_shot,dev,NEU,f798887e303c18d9,,DU,2026-09-08
exp2685,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,,DU,2026-09-08
exp1852,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp1910,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp1936,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
exp2076,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,DU,,2026-09-08
exp2114,glm-5.3,zero_shot,dev,DU,f98256a1719daf8a,KU,,2026-09-08
exp2222,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,KU,,2026-09-08
exp2274,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,KU,,2026-09-08
exp1433,glm-5.3,zero_shot,dev,KU,f98256a1719daf8a,NEU,,2026-09-08
exp1318,glm-5.3,zero_shot,dev,NEU,f98256a1719daf8a,NEU,,2026-09-08
