"uid","is_published","age","wc_description","wc_anamnesis","wc_solution","wc_outcome","ai_complete"
"exp4350","true",7,189,100,NA,NA,TRUE
"exp4349","true",12,178,142,170,124,TRUE
"exp4348","true",13,872,872,NA,NA,TRUE
"exp4347","true",13,816,816,NA,NA,TRUE
"exp4346","true",15,106,141,151,127,TRUE
"exp4345","true",11,71,66,76,71,TRUE
"exp4344","true",15,182,109,189,151,TRUE
"exp4343","true",18,121,83,112,45,TRUE
"exp4342","true",12,83,112,95,86,TRUE
"exp4341","true",16,90,74,72,21,TRUE
"exp4340","true",12,70,88,72,78,TRUE
"exp4339","true",14,107,81,68,21,TRUE
"exp4338","true",14,69,58,72,NA,TRUE
"exp4337","true",12,100,87,69,79,TRUE
"exp4336","true",12,66,65,84,27,TRUE
"exp4335","true",12,73,213,100,95,TRUE
"exp4334","true",6,83,99,60,59,TRUE
"exp4333","true",10,121,101,124,81,TRUE
"exp4332","true",10,108,141,72,28,TRUE
"exp4331","true",9,138,92,122,104,TRUE
"exp4330","true",14,70,125,115,111,TRUE
"exp4329","true",10,94,76,81,35,TRUE
"exp4328","true",16,99,105,136,185,TRUE
"exp4327","true",10,141,135,161,130,TRUE
"exp4326","true",7,197,154,101,26,TRUE
"exp4325","true",12,225,191,98,60,TRUE
"exp4324","true",12,122,88,141,96,TRUE
"exp4323","true",10,76,62,103,91,TRUE
"exp4322","true",15,150,104,140,127,TRUE
"exp4321","true",15,67,81,130,45,TRUE
"exp4320","true",6,115,132,113,106,TRUE
"exp4319","true",9,62,86,139,31,TRUE
"exp4318","true",12,211,99,97,81,TRUE
"exp4317","true",11,80,84,145,102,TRUE
"exp4316","true",7,114,74,108,71,TRUE
"exp4315","true",14,199,83,151,145,TRUE
"exp4314","true",11,122,116,160,95,TRUE
"exp4313","true",11,82,106,92,24,TRUE
"exp4312","true",13,92,81,88,87,TRUE
"exp4311","true",16,83,79,74,15,TRUE
"exp4310","true",13,241,124,314,151,TRUE
"exp4309","true",0,90,60,122,32,TRUE
"exp4308","true",11,106,240,204,130,TRUE
"exp4307","true",11,76,86,106,42,TRUE
"exp4306","true",14,65,99,104,71,TRUE
"exp4305","true",7,76,83,130,29,TRUE
"exp4304","true",13,95,100,105,91,TRUE
"exp4303","true",14,94,95,90,77,TRUE
"exp4302","true",14,68,66,66,28,TRUE
"exp4301","true",16,73,95,78,72,TRUE
"exp4300","true",12,153,114,123,67,TRUE
"exp4299","true",16,69,62,126,50,TRUE
"exp4298","true",14,78,73,104,11,TRUE
"exp4297","true",13,89,85,107,57,TRUE
"exp4296","true",14,77,80,88,96,TRUE
"exp4295","true",7,95,74,86,38,TRUE
"exp4294","true",13,70,98,130,94,TRUE
"exp4293","true",10,61,69,76,18,TRUE
"exp4292","true",10,103,87,95,15,TRUE
"exp4291","true",13,69,73,89,47,TRUE
"exp4290","true",13,245,76,135,104,TRUE
"exp4289","true",6,129,128,125,114,TRUE
"exp4288","true",15,159,275,160,120,TRUE
"exp4287","true",7,104,110,134,107,TRUE
"exp4286","true",11,228,188,140,62,TRUE
"exp4285","true",14,70,92,82,41,TRUE
"exp4284","true",13,119,214,196,77,TRUE
"exp4283","true",13,268,213,314,281,TRUE
"exp4281","true",14,75,58,123,62,TRUE
"exp4280","true",7,115,110,84,63,TRUE
"exp4279","true",14,117,100,102,63,TRUE
"exp4278","true",12,76,89,83,26,TRUE
"exp4277","true",15,132,109,130,137,TRUE
"exp4276","true",19,134,93,75,28,TRUE
"exp4275","true",15,70,145,79,80,TRUE
"exp4274","true",12,266,101,101,36,TRUE
"exp4273","true",8,71,70,71,73,TRUE
"exp4272","true",16,73,69,74,43,TRUE
"exp4271","true",14,191,148,199,135,TRUE
"exp4270","true",9,141,133,188,69,TRUE
"exp4269","true",13,68,73,110,26,TRUE
"exp4268","true",13,83,115,97,39,TRUE
"exp4267","true",12,123,61,579,227,TRUE
"exp4266","true",15,209,63,70,145,TRUE
"exp4265","true",10,60,73,113,43,TRUE
"exp4264","true",15,169,205,189,202,TRUE
"exp4263","true",12,71,63,55,26,TRUE
"exp4262","true",8,103,76,123,57,TRUE
"exp4261","true",11,61,74,72,53,TRUE
"exp4260","true",15,132,84,92,73,TRUE
"exp4259","true",17,62,83,140,159,TRUE
"exp4258","true",8,72,113,109,72,TRUE
"exp4257","true",12,135,186,167,211,TRUE
"exp4256","true",15,130,234,402,224,TRUE
"exp4255","true",14,102,89,59,24,TRUE
"exp4254","true",8,76,65,65,64,TRUE
"exp4253","true",12,85,76,76,126,TRUE
"exp4252","true",13,201,133,117,86,TRUE
"exp4251","true",15,97,67,70,25,TRUE
"exp4250","true",9,136,73,72,61,TRUE
"exp4249","true",17,70,86,91,50,TRUE
"exp4248","true",8,89,85,147,60,TRUE
"exp4247","true",12,77,86,84,85,TRUE
"exp4246","true",15,84,56,62,15,TRUE
"exp4245","true",11,213,71,117,62,TRUE
"exp4244","true",7,122,80,159,75,TRUE
"exp4243","true",9,80,70,89,78,TRUE
"exp4242","true",17,101,88,237,92,TRUE
"exp4241","true",14,64,68,66,18,TRUE
"exp4240","true",11,131,255,85,117,TRUE
"exp4239","true",14,177,148,172,90,TRUE
"exp4238","true",18,120,73,79,78,TRUE
"exp4237","true",7,85,72,62,16,TRUE
"exp4236","true",14,102,73,115,58,TRUE
"exp4235","true",14,101,89,81,84,TRUE
"exp4234","true",7,66,67,65,70,TRUE
"exp4233","true",7,89,118,83,105,TRUE
"exp4232","true",10,122,105,110,54,TRUE
"exp4231","true",10,167,72,180,73,TRUE
"exp4230","true",12,372,75,255,107,TRUE
"exp4229","true",14,197,82,113,16,TRUE
"exp4228","true",16,63,67,91,79,TRUE
"exp4227","true",6,307,303,316,284,TRUE
"exp4226","true",10,93,97,184,52,TRUE
"exp4225","true",13,144,132,115,164,TRUE
"exp4224","true",13,70,86,121,128,TRUE
"exp4223","true",11,117,127,151,124,TRUE
"exp4222","true",19,113,151,141,94,TRUE
"exp4221","true",14,104,64,103,43,TRUE
"exp4220","true",15,254,276,144,147,TRUE
"exp4219","true",8,90,73,79,79,TRUE
"exp4218","true",15,118,134,97,81,TRUE
"exp4217","true",13,130,92,116,83,TRUE
"exp4216","true",14,125,91,236,120,TRUE
"exp4215","true",12,80,99,112,58,TRUE
"exp4214","true",15,78,111,60,53,TRUE
"exp4213","true",14,132,114,149,81,TRUE
"exp4212","true",10,118,118,95,146,TRUE
"exp4211","true",14,122,125,191,181,TRUE
"exp4210","true",11,83,80,102,29,TRUE
"exp4209","true",13,182,144,147,89,TRUE
"exp4208","true",14,254,70,315,221,TRUE
"exp4207","true",15,69,75,139,31,TRUE
"exp4206","true",13,77,92,67,80,TRUE
"exp4205","true",16,100,91,66,65,TRUE
"exp4204","true",12,87,66,67,66,TRUE
"exp4203","true",11,69,80,80,30,TRUE
"exp4202","true",12,123,66,151,55,TRUE
"exp4201","true",17,72,66,102,66,TRUE
"exp4200","true",12,82,76,97,78,TRUE
"exp4199","true",11,165,119,119,174,TRUE
"exp4198","true",9,144,68,177,54,TRUE
"exp4197","true",12,67,77,148,72,TRUE
"exp4196","true",18,278,321,358,220,TRUE
"exp4195","true",12,68,65,54,12,TRUE
"exp4194","true",18,80,88,64,NA,TRUE
"exp4193","true",19,68,76,97,16,TRUE
"exp4192","true",8,79,63,73,80,TRUE
"exp4191","true",14,121,214,171,134,TRUE
"exp4190","true",12,90,95,98,53,TRUE
"exp4189","true",9,81,108,87,66,TRUE
"exp4188","true",16,79,96,157,84,TRUE
"exp4187","true",10,99,64,137,139,TRUE
"exp4186","true",14,76,75,70,34,TRUE
"exp4185","true",10,240,128,102,138,TRUE
"exp4184","true",7,89,68,86,38,TRUE
"exp4183","true",12,92,128,170,38,TRUE
"exp4182","true",17,77,66,99,54,TRUE
"exp4181","true",6,67,95,149,103,TRUE
"exp4180","true",10,67,82,81,53,TRUE
"exp4179","true",11,90,73,92,140,TRUE
"exp4178","true",7,69,68,75,23,TRUE
"exp4177","true",12,64,65,80,44,TRUE
"exp4176","true",13,335,86,132,81,TRUE
"exp4175","true",17,86,168,139,98,TRUE
"exp4174","true",11,75,66,64,29,TRUE
"exp4173","true",12,87,249,79,63,TRUE
"exp4172","true",16,156,69,150,76,TRUE
"exp4171","true",10,86,79,77,20,TRUE
"exp4170","true",16,83,80,177,74,TRUE
"exp4169","true",13,92,114,107,91,TRUE
"exp4168","true",13,139,116,185,66,TRUE
"exp4167","true",13,87,83,66,27,TRUE
"exp4166","true",12,135,137,171,123,TRUE
"exp4165","true",9,124,72,132,106,TRUE
"exp4164","true",14,83,58,92,84,TRUE
"exp4163","true",15,118,74,76,40,TRUE
"exp4162","true",14,151,79,97,53,TRUE
"exp4161","true",15,130,78,61,43,TRUE
"exp4160","true",8,127,134,141,157,TRUE
"exp4159","true",16,107,73,130,70,TRUE
"exp4158","true",14,69,82,132,70,TRUE
"exp4157","true",7,115,115,86,98,TRUE
"exp4129","true",11,71,66,76,71,TRUE
"exp4128","true",15,106,141,151,127,TRUE
"exp4127","true",14,94,80,117,65,TRUE
"exp4126","true",15,164,128,119,65,TRUE
"exp4125","true",18,160,109,84,108,TRUE
"exp4124","true",7,76,108,129,99,TRUE
"exp4123","true",11,66,71,93,7,TRUE
"exp4122","true",13,115,140,112,83,TRUE
"exp4121","true",9,69,74,85,68,TRUE
"exp4120","true",9,166,149,225,130,TRUE
"exp4119","true",11,77,77,98,87,TRUE
"exp4118","true",15,69,104,107,133,TRUE
"exp4117","true",14,82,76,215,46,TRUE
"exp4116","true",12,86,154,128,137,TRUE
"exp4115","true",16,73,71,65,52,TRUE
"exp4114","true",15,90,95,86,83,TRUE
"exp4113","true",12,69,75,77,21,TRUE
"exp4112","true",14,78,76,71,52,TRUE
"exp4111","true",11,128,61,206,57,TRUE
"exp4110","true",17,61,80,60,65,TRUE
"exp4109","true",10,86,67,80,84,TRUE
"exp4108","true",13,78,66,75,30,TRUE
"exp4107","true",19,87,101,105,63,TRUE
