"id","main_category","secondary_categories","solutions_annotated"
383,"Přemístění žáka","Proaktivní řešení, Podpora","Podpora"
1085,"Rozhovor","N/A","Rozhovor"
706,"Přemístění žáka","Podpora, Rozhovor","Přemístění žáka"
1240,"Rozhovor","Upozornění, Důsledky","Rozhovor"
1332,"Dohoda","Rozhovor, Důsledky","Dohoda"
719,"Rozhovor","Upozornění, Nerespektující komunikace","Rozhovor"
1281,"Proaktivní řešení","Podpora","Podpora"
1176,"Upozornění","Podpora, Nerespektující komunikace","Upozornění"
563,"Rozhovor","Podpora, Upozornění","Rozhovor"
1083,"Rozhovor","Upozornění, Nerespektující komunikace","Rozhovor"
475,"Upozornění","Proaktivní řešení","Upozornění"
1483,"Proaktivní řešení","Podpora, Práce s kolektivem","Podpora"
331,"Upozornění","Rozhovor, Nerespektující komunikace","Rozhovor"
1388,"Proaktivní řešení","Podpora, Důsledky","Podpora"
818,"Důsledky","Upozornění, Rozhovor","Důsledky"
77,"Rozhovor","Důsledky, Práce s kolektivem","Práce s kolektivem"
375,"Důsledky","Upozornění, Rozhovor","Důsledky"
1102,"Rozhovor","Práce s kolektivem, Upozornění","Upozornění"
245,"Podpora","Proaktivní řešení, Spolupráce s odborníky","Podpora"
169,"Rozhovor","Práce s kolektivem, Upozornění","Rozhovor"
571,"Podpora","Rozhovor, Dohoda","Podpora"
1376,"Rozhovor","Dohoda, Podpora","Rozhovor"
652,"Spolupráce s odborníky","Rozhovor","Rozhovor"
968,"Rozhovor","Podpora","Rozhovor"
1474,"Rozhovor","Upozornění, Podpora","Rozhovor"
1175,"Rozhovor","Upozornění","Rozhovor"
60,"Práce s kolektivem","Rozhovor, Proaktivní řešení","Práce s kolektivem"
1212,"Přemístění žáka","Podpora, Dohoda","Podpora"
483,"Proaktivní řešení","Podpora, Spolupráce s odborníky","Podpora"
79,"Spolupráce s odborníky","Podpora","Spolupráce s odborníky"
984,"Rozhovor","Práce s kolektivem","Rozhovor"
964,"Práce s kolektivem","Rozhovor, Podpora","Rozhovor"
529,"Důsledky","Upozornění, Rozhovor","Důsledky"
583,"Rozhovor","Podpora, Dohoda","Podpora"
362,"Rozhovor","Dohoda, Upozornění","Rozhovor"
102,"Upozornění","Proaktivní řešení","Upozornění"
555,"Upozornění","Nerespektující komunikace","Nerespektující komunikace"
33,"Podpora","Rozhovor, Proaktivní řešení","Podpora"
355,"Přemístění žáka","Rozhovor, Důsledky","Přemístění žáka"
888,"Upozornění","Podpora, Proaktivní řešení","Upozornění"
240,"Přemístění žáka","Upozornění, Nerespektující komunikace","Přemístění žáka"
1363,"Důsledky","Rozhovor","Důsledky"
1197,"Spolupráce s odborníky","Rozhovor","Rozhovor"
219,"Podpora","Rozhovor, Dohoda","Rozhovor"
462,"Rozhovor","Důsledky","Rozhovor"
100,"Podpora","Rozhovor, Proaktivní řešení","Podpora"
983,"Rozhovor","Práce s kolektivem, Spolupráce s odborníky","Rozhovor"
1035,"Rozhovor","Podpora, Důsledky","Rozhovor"
621,"Rozhovor","Podpora","Rozhovor"
1385,"Důsledky","Upozornění, Nerespektující komunikace","Nerespektující komunikace"
434,"Rozhovor","Nerespektující komunikace","Nerespektující komunikace"
1171,"Nerespektující komunikace","Upozornění","Nerespektující komunikace"
222,"Upozornění","Rozhovor, Dohoda","Rozhovor"
1090,"Rozhovor","Podpora","Rozhovor"
1043,"Rozhovor","Práce s kolektivem, Proaktivní řešení","Rozhovor"
1354,"Nerespektující komunikace","Důsledky, Upozornění","Nerespektující komunikace"
32,"Přemístění žáka","Spolupráce s odborníky, Důsledky","Přemístění žáka"
1346,"Rozhovor","Nerespektující komunikace","Rozhovor"
1036,"Rozhovor","Dohoda","Rozhovor"
1209,"Důsledky","Rozhovor","Rozhovor"
1291,"Dohoda","Podpora, Proaktivní řešení","Dohoda"
1062,"Spolupráce s odborníky","Rozhovor, Důsledky","Spolupráce s odborníky"
1158,"Proaktivní řešení","Podpora, (Kázeňské) Tresty","Proaktivní řešení"
364,"Proaktivní řešení","Upozornění",""
347,"Upozornění","Podpora, Proaktivní řešení","Upozornění"
811,"Podpora","Proaktivní řešení","Podpora"
277,"Rozhovor","Spolupráce s odborníky, Podpora","Důsledky"
1045,"Práce s kolektivem","Podpora, Proaktivní řešení","Práce s kolektivem"
562,"Rozhovor","Práce s kolektivem","Rozhovor"
454,"Rozhovor","Upozornění, Práce s kolektivem","Rozhovor"
297,"Nerespektující komunikace","Upozornění","Nerespektující komunikace"
629,"Podpora","Práce s kolektivem, Proaktivní řešení","Podpora"
999,"Rozhovor","Důsledky","Rozhovor"
987,"Nerespektující komunikace","Důsledky","Nerespektující komunikace"
