metric,value,skript,data_sha,seed,datum
prov_chovani_n_spolecnych,1333.0,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_chovani_shoda_mnozin,0.9677,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_chovani_jaccard,0.9868,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_reseni_n_spolecnych,1305.0,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_reseni_shoda_mnozin,0.9548,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_reseni_jaccard,0.9805,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_dopad_n_spolecnych,1290.0,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_dopad_shoda_mnozin,0.9783,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_dopad_jaccard,0.9866,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_rez_n,1359.0,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_rez_pokryto_lidskou,1350.0,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
prov_rez_podil_pokryto,0.9934,analyzy/scripts/16_k1_matice_provenience.py,b9aadcf40571deb8f7862e3898cceea7dc40c0acbf01e290cdcf74736858078e,,2026-07-15
