"reseni","n_s_diagnozou","n_diagnoza","podil_s_diagnozou","n_cely_rez","n_rez","podil_cely_rez"
"(Kázeňské) Tresty",41,530,0.0773584905660377,104,1359,0.0765268579838116
"Dohoda",54,530,0.10188679245283,131,1359,0.0963944076526858
"Důsledky",69,530,0.130188679245283,245,1359,0.18027961736571
"Fyzické zakročení",20,530,0.0377358490566038,47,1359,0.0345842531272995
"Nerespektující komunikace",50,530,0.0943396226415094,154,1359,0.113318616629875
"Podpora",197,530,0.371698113207547,342,1359,0.251655629139073
"Práce s kolektivem",59,530,0.111320754716981,184,1359,0.135393671817513
"Přemístění žáka",88,530,0.166037735849057,205,1359,0.150846210448859
"Rozhovor",332,530,0.626415094339623,922,1359,0.678440029433407
"Spolupráce s odborníky",192,530,0.362264150943396,461,1359,0.339220014716703
"Upozornění",77,530,0.145283018867925,229,1359,0.16850625459897
