"dimenze","kategorie","pripadu"
"chovani","Verbální agrese",330
"chovani","Verbální narušování výuky",328
"chovani","Fyzická agrese",299
"chovani","Nevěnování se výuce/Nepozornost při výuce",293
"chovani","Porušování třídních/školních pravidel",255
"chovani","Diagnóza",203
"chovani","Neplnění školních povinností/nepřipravenost na výuku",201
"chovani","Neverbální narušování výuky",174
"chovani","Emoční výbuchy",143
"chovani","Problémy s docházkou",142
"chovani","Šikana",119
"chovani","Lhaní a podvody",82
"chovani","Nezvládání výuky",58
"chovani","Sebedestruktivní chování",43
"dopad","Dlouhodobý úspěch",598
"dopad","Neúspěch",483
"dopad","Částečný úspěch",158
"dopad","Krátkodobý úspěch",84
"reseni","Rozhovor",922
"reseni","Spolupráce s odborníky",461
"reseni","Podpora",342
"reseni","Důsledky",245
"reseni","Upozornění",229
"reseni","Přemístění žáka",205
"reseni","Práce s kolektivem",184
"reseni","Nerespektující komunikace",154
"reseni","Dohoda",131
"reseni","(Kázeňské) Tresty",104
"reseni","Fyzické zakročení",47
