"metric","value","skript","data_sha","seed","datum"
"n_korpus_s6",3202,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"n_zverejneno_s6",3202,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"n_vyrazeno_delky_trunc",52,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"description_slov_median",102,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"description_slov_q1",76,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"description_slov_q3",148,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"anamnesis_slov_median",79,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"anamnesis_slov_q1",66,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"anamnesis_slov_q3",109,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"solution_slov_median",102,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"solution_slov_q1",74,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"solution_slov_q3",153.75,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"outcome_slov_median",68,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"outcome_slov_q1",43,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"outcome_slov_q3",102,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"vek_n_nula_vyrazeno",15,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"vek_median",13,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"vek_n",3142,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"n_ai_reseni_kompletni",3202,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"rust_S12023",757,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"rust_S3042024",1507,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"rust_S4082024",1695,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
"rust_S5HFrelease",1492,"analyzy/notebooks/10_korpus.qmd","6c7f40b47a895e89d6c55c29636b228274a7fd0f1295e916c28e84a86a259a9b",20260714,"2026-07-17"
