"chovani","reseni","n_spolu","n_chovani","podil"
"Diagnóza","(Kázeňské) Tresty",18,203,0.0886699507389163
"Diagnóza","Dohoda",23,203,0.113300492610837
"Diagnóza","Důsledky",18,203,0.0886699507389163
"Diagnóza","Fyzické zakročení",9,203,0.0443349753694581
"Diagnóza","Nerespektující komunikace",20,203,0.0985221674876847
"Diagnóza","Podpora",98,203,0.482758620689655
"Diagnóza","Práce s kolektivem",36,203,0.177339901477833
"Diagnóza","Přemístění žáka",48,203,0.236453201970443
"Diagnóza","Proaktivní řešení",8,203,0.0394088669950739
"Diagnóza","Rozhovor",116,203,0.571428571428571
"Diagnóza","Spolupráce s odborníky",87,203,0.428571428571429
"Diagnóza","Upozornění",21,203,0.103448275862069
"Emoční výbuchy","(Kázeňské) Tresty",7,143,0.048951048951049
"Emoční výbuchy","Dohoda",14,143,0.0979020979020979
"Emoční výbuchy","Důsledky",10,143,0.0699300699300699
"Emoční výbuchy","Fyzické zakročení",6,143,0.041958041958042
"Emoční výbuchy","Nerespektující komunikace",15,143,0.104895104895105
"Emoční výbuchy","Podpora",59,143,0.412587412587413
"Emoční výbuchy","Práce s kolektivem",15,143,0.104895104895105
"Emoční výbuchy","Přemístění žáka",39,143,0.272727272727273
"Emoční výbuchy","Proaktivní řešení",2,143,0.013986013986014
"Emoční výbuchy","Rozhovor",100,143,0.699300699300699
"Emoční výbuchy","Spolupráce s odborníky",57,143,0.398601398601399
"Emoční výbuchy","Upozornění",20,143,0.13986013986014
"Fyzická agrese","(Kázeňské) Tresty",26,299,0.0869565217391304
"Fyzická agrese","Dohoda",32,299,0.107023411371237
"Fyzická agrese","Důsledky",73,299,0.244147157190635
"Fyzická agrese","Fyzické zakročení",22,299,0.0735785953177258
"Fyzická agrese","Nerespektující komunikace",37,299,0.123745819397993
"Fyzická agrese","Podpora",61,299,0.204013377926421
"Fyzická agrese","Práce s kolektivem",47,299,0.157190635451505
"Fyzická agrese","Přemístění žáka",68,299,0.22742474916388
"Fyzická agrese","Proaktivní řešení",3,299,0.0100334448160535
"Fyzická agrese","Rozhovor",226,299,0.755852842809365
"Fyzická agrese","Spolupráce s odborníky",129,299,0.431438127090301
"Fyzická agrese","Upozornění",41,299,0.137123745819398
"Lhaní a podvody","(Kázeňské) Tresty",9,82,0.109756097560976
"Lhaní a podvody","Dohoda",6,82,0.0731707317073171
"Lhaní a podvody","Důsledky",21,82,0.25609756097561
"Lhaní a podvody","Fyzické zakročení",1,82,0.0121951219512195
"Lhaní a podvody","Nerespektující komunikace",6,82,0.0731707317073171
"Lhaní a podvody","Podpora",15,82,0.182926829268293
"Lhaní a podvody","Práce s kolektivem",14,82,0.170731707317073
"Lhaní a podvody","Přemístění žáka",7,82,0.0853658536585366
"Lhaní a podvody","Rozhovor",62,82,0.75609756097561
"Lhaní a podvody","Spolupráce s odborníky",36,82,0.439024390243902
"Lhaní a podvody","Upozornění",11,82,0.134146341463415
"Neplnění školních povinností/nepřipravenost na výuku","(Kázeňské) Tresty",16,201,0.0796019900497512
"Neplnění školních povinností/nepřipravenost na výuku","Dohoda",17,201,0.0845771144278607
"Neplnění školních povinností/nepřipravenost na výuku","Důsledky",41,201,0.203980099502488
"Neplnění školních povinností/nepřipravenost na výuku","Fyzické zakročení",1,201,0.00497512437810945
"Neplnění školních povinností/nepřipravenost na výuku","Nerespektující komunikace",22,201,0.109452736318408
"Neplnění školních povinností/nepřipravenost na výuku","Podpora",79,201,0.393034825870647
"Neplnění školních povinností/nepřipravenost na výuku","Práce s kolektivem",9,201,0.0447761194029851
"Neplnění školních povinností/nepřipravenost na výuku","Přemístění žáka",30,201,0.149253731343284
"Neplnění školních povinností/nepřipravenost na výuku","Proaktivní řešení",1,201,0.00497512437810945
"Neplnění školních povinností/nepřipravenost na výuku","Rozhovor",132,201,0.656716417910448
"Neplnění školních povinností/nepřipravenost na výuku","Spolupráce s odborníky",80,201,0.398009950248756
"Neplnění školních povinností/nepřipravenost na výuku","Upozornění",29,201,0.144278606965174
"Nevěnování se výuce/Nepozornost při výuce","(Kázeňské) Tresty",23,293,0.0784982935153584
"Nevěnování se výuce/Nepozornost při výuce","Dohoda",31,293,0.10580204778157
"Nevěnování se výuce/Nepozornost při výuce","Důsledky",52,293,0.177474402730375
"Nevěnování se výuce/Nepozornost při výuce","Fyzické zakročení",6,293,0.0204778156996587
"Nevěnování se výuce/Nepozornost při výuce","Nerespektující komunikace",49,293,0.167235494880546
"Nevěnování se výuce/Nepozornost při výuce","Podpora",110,293,0.37542662116041
"Nevěnování se výuce/Nepozornost při výuce","Práce s kolektivem",13,293,0.0443686006825939
"Nevěnování se výuce/Nepozornost při výuce","Přemístění žáka",57,293,0.194539249146758
"Nevěnování se výuce/Nepozornost při výuce","Proaktivní řešení",5,293,0.0170648464163823
"Nevěnování se výuce/Nepozornost při výuce","Rozhovor",182,293,0.621160409556314
"Nevěnování se výuce/Nepozornost při výuce","Spolupráce s odborníky",81,293,0.276450511945392
"Nevěnování se výuce/Nepozornost při výuce","Upozornění",68,293,0.232081911262799
"Neverbální narušování výuky","(Kázeňské) Tresty",22,174,0.126436781609195
"Neverbální narušování výuky","Dohoda",16,174,0.0919540229885057
"Neverbální narušování výuky","Důsledky",26,174,0.149425287356322
"Neverbální narušování výuky","Fyzické zakročení",9,174,0.0517241379310345
"Neverbální narušování výuky","Nerespektující komunikace",28,174,0.160919540229885
"Neverbální narušování výuky","Podpora",62,174,0.35632183908046
"Neverbální narušování výuky","Práce s kolektivem",14,174,0.0804597701149425
"Neverbální narušování výuky","Přemístění žáka",38,174,0.218390804597701
"Neverbální narušování výuky","Proaktivní řešení",5,174,0.028735632183908
