"metric","value","skript","data_sha","seed","datum"
"overeni_solutions_je_clovek",0.994,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"overeni_main_je_class7",1,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"overeni_main_vs_matice",0.7216,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"n_paru_llm_clovek",334,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"shoda_presna_llm",0.7216,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"shoda_presna_ci_lo",0.6707,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"shoda_presna_ci_hi",0.7695,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"shoda_rozsirena_llm",0.9311,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"kappa_llm_clovek",0.6423,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"kappa_ci_lo",0.5808,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"kappa_ci_hi",0.7013,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"n_kategorii_reseni_srovnani",12,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
"shoda_kat:Rozhovor",0.7742,"analyzy/notebooks/20_kodovani_llm.qmd","880bd3f2aa682dae9f6eb5893b52d457427176e1fd97afa8bdae7ec6fd9f3d3f",20260714,"2026-07-17"
