"Reseni_gen_AI","Otazka","anotator_name","expected","absent","observed_missing"
0,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A1",324,0,3
0,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A2",324,0,0
0,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A3",324,0,178
0,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A4",324,0,34
0,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A5",324,0,2
0,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A6",324,0,0
0,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A1",324,0,2
0,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A2",324,0,0
0,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A3",324,0,178
0,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A4",324,0,33
0,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A5",324,0,1
0,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A6",324,0,0
0,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A1",324,0,2
0,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A2",324,0,0
0,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A3",324,0,178
0,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A4",324,0,33
0,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A5",324,0,1
0,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A6",324,0,0
0,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A1",324,0,2
0,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A2",324,0,0
0,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A3",324,0,179
0,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A4",324,0,33
0,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A5",324,0,1
0,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A6",324,0,0
1,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A1",324,0,2
1,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A2",324,0,2
1,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A3",324,0,151
1,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A4",324,19,33
1,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A5",324,0,0
1,"Jak.moc.je.popisovane.reseni.humanisticky.nebo.behavioralne.orientovane.","A6",324,0,0
1,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A1",324,0,1
1,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A2",324,0,2
1,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A3",324,0,150
1,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A4",324,19,31
1,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A5",324,0,0
1,"Jak.moc.je.popisovane.reseni.reaktivni.nebo.proaktivni.","A6",324,0,0
1,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A1",324,0,1
1,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A2",324,0,2
1,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A3",324,0,150
1,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A4",324,19,31
1,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A5",324,0,0
1,"Jak.moc.je.popisovane.reseni.systemove.nebo.situacni.","A6",324,0,0
1,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A1",324,0,1
1,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A2",324,0,2
1,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A3",324,0,150
1,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A4",324,19,31
1,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A5",324,0,0
1,"Jak.moc.je.vhodna.toto.reseni.pro.danou.situaci.","A6",324,0,0
