"metric","value","skript","data_sha","seed","datum"
"n_radku_A12",1947,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"pokryti_kvalita_A12",1,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"pokryti_dopad_A12",0.9671,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"pokryti_vhodnost_A12",0.9692,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"adjudikovano_radku_A12",64,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"n_radku_A2",1938,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"pokryti_kvalita_A2",1,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"pokryti_dopad_A2",0.9639,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"pokryti_vhodnost_A2",0.9644,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"adjudikovano_radku_A2",64,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"n_kazuistik_k3_unikat",3192,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"n_radku_bez_uid",7,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"n_prekryv",693,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"n_prekryv_adjudikovano",64,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"kvalita_plocha_n_A12",92,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"kvalita_plocha_podil_A12",0.0473,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"kvalita_plna_n_A12",1855,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_NEU_n_A12",425,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_NEU_podil_A12",0.2257,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_KU_n_A12",655,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_KU_podil_A12",0.3478,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
