metric,value,skript,data_sha,seed,datum
predikce_majorita_podil,0.4925,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_n_eval,601.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_majorita_bal_acc,0.3333,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_seed,20260714.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_bootstrap_n,1000.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_leakage_test_ok,1.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_vyrazeno_unik,2.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_n,601.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_n_valid,601.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_n_invalid,0.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_coverage,1.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_acc,0.8103,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_bal_acc,0.802,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_macro_f1,0.8019,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_kappa,0.6863,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_kappa_valid,0.6863,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_recall_NEU,0.828,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_recall_KU,0.6792,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_clovek_clovek_recall_DU,0.8986,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_n,601.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_n_valid,594.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_n_invalid,7.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_coverage,0.9884,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_acc,0.5541,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_bal_acc,0.6026,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_macro_f1,0.5693,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_kappa,0.3223,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_kappa_valid,0.3278,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_recall_neu,0.6989,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_recall_ku,0.717,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_recall_du,0.3919,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_acc_ci_lo,0.5124,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_acc_ci_hi,0.5907,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_bal_acc_ci_lo,0.5572,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_bal_acc_ci_hi,0.6419,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_macro_f1_ci_lo,0.5266,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_macro_f1_ci_hi,0.6067,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_kappa_ci_lo,0.2638,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
