"res","n_kazuistik","n","du_podil","vhodnost_prumer","du_ci_lo","du_ci_hi","vh_ci_lo","vh_ci_hi","du_podil_k1","n_k1"
"Rozhovor",463,449,0.420935412026726,3.25386313465784,0.374715753731121,0.466670353982301,3.17178879099364,3.3318865270397,0.498886414253898,449
"Upozornění",97,91,0.296703296703297,2.75,0.204539345063539,0.391304347826087,2.56371253717685,2.93480014025245,0.384615384615385,91
"Spolupráce s odborníky",93,89,0.382022471910112,3.31460674157303,0.285714285714286,0.488642676767677,3.12222222222222,3.49450549450549,0.48314606741573,89
"Podpora",66,63,0.349206349206349,3.42857142857143,0.234375,0.466666666666667,3.2095942140297,3.61904761904762,0.428571428571429,63
"Nerespektující komunikace",45,39,0.230769230769231,2.09756097560976,0.105263157894737,0.381043956043956,1.80952380952381,2.4,0.179487179487179,39
"Práce s kolektivem",38,37,0.513513513513513,3.37837837837838,0.351351351351351,0.666666666666667,3.13157894736842,3.62162162162162,0.702702702702703,37
"Přemístění žáka",35,35,0.485714285714286,3.2,0.314285714285714,0.657142857142857,2.85714285714286,3.51428571428571,0.542857142857143,35
"Důsledky",28,27,0.296296296296296,2.77777777777778,0.124875,0.480037037037037,2.40740740740741,3.14298941798942,0.333333333333333,27
"(Kázeňské) Tresty",20,20,0.35,2.75,0.15,0.55,2.35,3.1,0.4,20
"Dohoda",16,16,0.3125,3.375,0.125,0.5625,3.0625,3.6875,0.5625,16
"Fyzické zakročení",15,10,0.4,3.4,0.0909090909090909,0.714285714285714,2.69916666666667,4,0.4,10
"Proaktivní řešení",1,1,1,4,1,1,4,4,1,1
